recd,NetID,Brand,Age.f,Status.i,PHI.i,Status.f,PHI.f,Damage_related
218,J217,Dawaplus 2.0,6,New,0,Used last night,NA,No
219,J218,Dawaplus 2.0,6,New,0,Used last night,NA,No
220,J219,Dawaplus 2.0,6,New,0,Used last night,NA,No
221,J220,Dawaplus 2.0,6,New,0,Used last night,NA,No
222,J221,Dawaplus 2.0,6,New,0,Used last night,NA,No
223,J222,Dawaplus 2.0,6,New,0,Used last night,NA,No
224,J223,Dawaplus 2.0,6,New,0,Not in use,NA,No
225,J224,Dawaplus 2.0,6,New,0,Used last night,NA,No
226,J225,Dawaplus 2.0,6,New,0,Not used last night,NA,No
227,J226,Dawaplus 2.0,6,New,0,Used last night,NA,No
228,J227,Dawaplus 2.0,6,New,0,Used last night,0,No
229,J228,Dawaplus 2.0,6,New,0,Not in use,NA,No
230,J229,Dawaplus 2.0,6,New,0,Used last night,0,No
231,J230,Dawaplus 2.0,6,New,0,Used last night,NA,No
232,J231,Dawaplus 2.0,6,New,0,Not in use,NA,No
233,J232,Dawaplus 2.0,6,New,0,Used last night,NA,No
234,J233,Dawaplus 2.0,6,New,0,Used last night,NA,No
235,J234,Dawaplus 2.0,6,New,0,Used last night,NA,No
236,J235,Dawaplus 2.0,6,New,0,Used last night,NA,No
237,J236,Dawaplus 2.0,6,New,0,Not in use,NA,No
238,J237,Dawaplus 2.0,6,New,0,Used last night,681,No
239,J238,Dawaplus 2.0,6,New,0,Used last night,NA,No
240,J239,Dawaplus 2.0,6,New,0,Attrited,NA,NA
241,J240,Dawaplus 2.0,6,New,0,Used last night,NA,No
242,J241,Dawaplus 2.0,6,New,0,Used last night,NA,No
243,J242,Dawaplus 2.0,6,New,0,Used last night,NA,No
244,J243,Dawaplus 2.0,6,New,0,Used last night,NA,No
245,J244,Dawaplus 2.0,6,New,0,Used last night,0,No
246,J245,Dawaplus 2.0,6,New,0,Used last night,NA,No
247,J246,Dawaplus 2.0,6,New,0,Not used last night,NA,No
248,J247,Dawaplus 2.0,6,New,0,Used last night,NA,No
249,J248,Dawaplus 2.0,6,New,0,Used last night,NA,No
250,J249,Dawaplus 2.0,6,New,0,Used last night,NA,No
251,J250,Dawaplus 2.0,6,New,0,Used last night,NA,No
252,J251,Dawaplus 2.0,6,New,0,Used last night,NA,No
253,J252,Dawaplus 2.0,6,New,0,Not used last night,NA,No
254,J253,Dawaplus 2.0,6,New,0,Used last night,NA,No
255,J254,Dawaplus 2.0,6,New,0,Used last night,NA,No
256,J255,Dawaplus 2.0,6,New,0,Used last night,NA,No
257,J256,Dawaplus 2.0,6,New,0,Used last night,NA,No
258,J257,Dawaplus 2.0,6,New,0,Used last night,NA,No
259,J258,Dawaplus 2.0,6,New,0,Used last night,NA,No
260,J259,Dawaplus 2.0,6,New,0,Used last night,NA,No
262,J261,Dawaplus 2.0,6,New,0,Used last night,NA,No
263,J262,Dawaplus 2.0,6,New,0,Used last night,NA,No
264,J263,Dawaplus 2.0,6,New,0,Used last night,NA,No
265,J264,Dawaplus 2.0,6,New,0,Not in use,NA,No
266,J265,Dawaplus 2.0,6,New,0,Not in use,NA,No
267,J266,Dawaplus 2.0,6,New,0,Used last night,NA,No
268,J267,Dawaplus 2.0,6,New,0,Used last night,NA,No
269,J268,Dawaplus 2.0,6,New,0,Used last night,NA,No
270,J269,Dawaplus 2.0,6,New,0,Used last night,NA,No
271,J270,Dawaplus 2.0,6,New,0,Not in use,NA,No
272,J271,Dawaplus 2.0,6,New,0,Used last night,NA,No
273,J272,Dawaplus 2.0,6,New,0,Used last night,NA,No
274,J273,Dawaplus 2.0,6,New,0,Used last night,NA,No
275,J274,Dawaplus 2.0,6,New,0,Not used last night,NA,No
276,J275,Dawaplus 2.0,6,New,0,Used last night,NA,No
277,J276,Dawaplus 2.0,6,New,0,Not in use,NA,No
278,J277,Dawaplus 2.0,6,New,0,Used last night,NA,No
279,J278,Dawaplus 2.0,6,New,0,Used last night,NA,No
280,J279,Dawaplus 2.0,6,New,0,Used last night,NA,No
281,J280,Dawaplus 2.0,6,New,0,Used last night,NA,No
282,J281,Dawaplus 2.0,6,New,0,Used last night,NA,No
283,J282,Dawaplus 2.0,6,New,0,Used last night,NA,No
284,J283,Dawaplus 2.0,6,New,0,Used last night,NA,No
285,J284,Dawaplus 2.0,6,New,0,Used last night,NA,No
286,J285,Dawaplus 2.0,6,New,0,Used last night,NA,No
287,J286,Dawaplus 2.0,6,New,0,Used last night,NA,No
288,J287,Dawaplus 2.0,6,New,0,Not in use,NA,No
289,J288,Dawaplus 2.0,6,New,0,Used last night,NA,No
290,J289,Dawaplus 2.0,6,New,0,Used last night,NA,No
291,J290,Dawaplus 2.0,6,New,0,Used last night,NA,No
292,J291,Dawaplus 2.0,6,New,0,Used last night,NA,No
293,J292,Dawaplus 2.0,6,New,0,Used last night,NA,No
294,J293,Dawaplus 2.0,6,New,0,Used last night,NA,No
295,J294,Dawaplus 2.0,6,New,0,Used last night,NA,No
296,J295,Dawaplus 2.0,6,New,0,Used last night,NA,No
297,J296,Dawaplus 2.0,6,New,0,Used last night,NA,No
298,J297,Dawaplus 2.0,6,New,0,Used last night,NA,No
299,J298,Dawaplus 2.0,6,New,0,Used last night,NA,No
300,J299,Dawaplus 2.0,6,New,0,Used last night,NA,No
301,J300,Dawaplus 2.0,6,New,0,Used last night,NA,No
302,J301,Dawaplus 2.0,6,New,0,Used last night,NA,No
303,J302,Dawaplus 2.0,6,New,0,Used last night,NA,No
304,J303,Dawaplus 2.0,6,New,0,Used last night,NA,No
305,J304,Dawaplus 2.0,6,New,0,Used last night,NA,No
306,J305,Dawaplus 2.0,6,New,0,Used last night,NA,No
307,J306,Dawaplus 2.0,6,New,0,Not in use,NA,No
308,J307,Dawaplus 2.0,6,New,0,Used last night,NA,No
309,J308,Dawaplus 2.0,6,New,0,Used last night,NA,No
310,J309,Dawaplus 2.0,6,New,0,Used last night,NA,No
311,J310,Dawaplus 2.0,6,New,0,Not in use,NA,No
312,J311,Dawaplus 2.0,6,New,0,Used last night,NA,No
313,J312,Dawaplus 2.0,6,New,0,Not in use,NA,No
314,J313,Dawaplus 2.0,6,New,0,Used last night,NA,No
315,J314,Dawaplus 2.0,6,New,0,Not in use,NA,No
316,J315,Dawaplus 2.0,6,New,0,Used last night,NA,No
317,J316,Dawaplus 2.0,6,New,0,Used last night,NA,No
318,J317,Dawaplus 2.0,6,New,0,Not in use,NA,No
319,J318,Dawaplus 2.0,6,New,0,Used last night,NA,No
320,J319,Dawaplus 2.0,6,New,0,Used last night,NA,No
321,J320,Dawaplus 2.0,6,New,0,Used last night,NA,No
322,J321,Dawaplus 2.0,6,New,0,Used last night,NA,No
323,J322,Dawaplus 2.0,6,New,0,Used last night,NA,No
324,J323,Dawaplus 2.0,6,New,0,Used last night,NA,No
325,J324,Dawaplus 2.0,6,New,0,Used last night,NA,No
326,J325,Dawaplus 2.0,6,New,0,Used last night,NA,No
327,J326,Dawaplus 2.0,6,New,0,Used last night,NA,No
328,J327,Dawaplus 2.0,6,New,0,Used last night,NA,No
329,J328,Dawaplus 2.0,6,New,0,Used last night,NA,No
330,J329,Dawaplus 2.0,6,New,0,Used last night,NA,No
331,J330,Dawaplus 2.0,6,New,0,Used last night,NA,No
332,J331,Dawaplus 2.0,6,New,0,Used last night,NA,No
333,J332,Dawaplus 2.0,6,New,0,Used last night,NA,No
334,J333,Dawaplus 2.0,6,New,0,Used last night,NA,No
335,J334,Dawaplus 2.0,6,New,0,Used last night,NA,No
336,J335,Dawaplus 2.0,6,New,0,Used last night,NA,No
337,J336,Dawaplus 2.0,6,New,0,Used last night,NA,No
338,J337,Dawaplus 2.0,6,New,0,Not in use,NA,No
339,J338,Dawaplus 2.0,6,New,0,Used last night,NA,No
340,J339,Dawaplus 2.0,6,New,0,Used last night,NA,No
341,J340,Dawaplus 2.0,6,New,0,Used last night,NA,No
342,J341,Dawaplus 2.0,6,New,0,Used last night,NA,No
343,J342,Dawaplus 2.0,6,New,0,Used last night,NA,No
344,J343,Dawaplus 2.0,6,New,0,Used last night,NA,No
345,J344,Dawaplus 2.0,6,New,0,Used last night,NA,No
346,J345,Dawaplus 2.0,6,New,0,Used last night,NA,No
347,J346,Dawaplus 2.0,6,New,0,Not in use,0,No
