"","S_1","S_2","S_3","S_4","A","Month"
"2223",0.0392759754023471,0.188159760834472,0.0295966248213601,0.341146852765499,0.401820786176321,26.676
"2224",0.0392286212986062,0.188110783256346,0.0295609412132313,0.341113370824845,0.401986283406971,26.688
"2225",0.0391813242897429,0.188061809292147,0.0295253006263901,0.341079822781047,0.402151743010673,26.7
"2226",0.0391340843069093,0.188012838961472,0.0294897030089774,0.341046208737332,0.402317164985309,26.712
"2227",0.0390869012813406,0.18796387228387,0.0294541483091966,0.341012528796813,0.40248254932878,26.724
"2228",0.0390397751443548,0.187914909278843,0.0294186364753133,0.340978783062486,0.402647896039003,26.736
"2229",0.038992705827353,0.187865949965845,0.0293831674556555,0.340944971637234,0.402813205113912,26.748
"2230",0.0389456932618189,0.187816994364285,0.0293477411986135,0.340911094623822,0.40297847655146,26.76
"2231",0.038898737379319,0.187768042493523,0.0293123576526397,0.340877152124903,0.403143710349615,26.772
"2232",0.0388518381115023,0.187719094372873,0.0292770167662485,0.340843144243013,0.403308906506363,26.784
"2233",0.0388049953901005,0.187670150021603,0.0292417184880164,0.340809071080575,0.403474065019705,26.796
"2234",0.0387582091469273,0.187621209458934,0.0292064627665818,0.340774932739895,0.403639185887662,26.808
"2235",0.038711479313879,0.187572272704039,0.0291712495506449,0.340740729323167,0.40380426910827,26.82
"2236",0.0386648058229339,0.187523339776048,0.0291360787889678,0.340706460932468,0.403969314679582,26.832
"2237",0.0386181886061526,0.187474410694041,0.0291009504303741,0.340672127669764,0.404134322599669,26.844
"2238",0.0385716275956773,0.187425485477053,0.0290658644237492,0.340637729636902,0.404299292866618,26.856
"2239",0.0385251227237326,0.187376564144075,0.0290308207180401,0.34060326693562,0.404464225478532,26.868
"2240",0.0384786739226244,0.187327646714049,0.0289958192622551,0.340568739667538,0.404629120433533,26.88
"2241",0.0384322811247405,0.187278733205873,0.0289608600054641,0.340534147934165,0.404793977729757,26.892
"2242",0.0383859442625504,0.187229823638399,0.0289259428967981,0.340499491836893,0.40495879736536,26.904
"2243",0.0383396632686049,0.187180918030432,0.0288910678854496,0.340464771477002,0.405123579338511,26.916
"2244",0.0382934380755362,0.187132016400732,0.0288562349206722,0.34042998695566,0.405288323647399,26.928
"2245",0.038247268616058,0.187083118768014,0.0288214439517806,0.340395138373919,0.405453030290228,26.94
"2246",0.0382011548229648,0.187034225150948,0.0287866949281506,0.340360225832717,0.405617699265219,26.952
"2247",0.0381550966291326,0.186985335568158,0.0287519877992188,0.340325249432882,0.40578233057061,26.964
"2248",0.0381090939675181,0.186936450038221,0.0287173225144829,0.340290209275125,0.405946924204653,26.976
"2249",0.0380631467711592,0.186887568579672,0.0286826990235013,0.340255105460046,0.406111480165622,26.988
"2250",0.0380172549731742,0.186838691210999,0.0286481172758933,0.340219938088133,0.406275998451801,27
"2251",0.0379714185067625,0.186789817950645,0.0286135772213387,0.340184707259757,0.406440479061496,27.012
"2252",0.0379256373052038,0.18674094881701,0.0285790788095779,0.340149413075182,0.406604921993027,27.024
"2253",0.0378799113018584,0.186692083828447,0.0285446219904121,0.340114055634553,0.406769327244729,27.036
"2254",0.0378342404301672,0.186643223003266,0.0285102067137026,0.340078635037907,0.406933694814958,27.048
"2255",0.037788624623651,0.18659436635973,0.0284758329293714,0.340043151385167,0.407098024702081,27.06
"2256",0.0377430638159113,0.186545513916061,0.0284415005874005,0.340007604776143,0.407262316904485,27.072
"2257",0.0376975579406293,0.186496665690434,0.0284072096378326,0.339971995310532,0.407426571420572,27.084
"2258",0.0376521069315665,0.18644782170098,0.02837296003077,0.339936323087922,0.407590788248761,27.096
"2259",0.0376067107225641,0.186398981965788,0.0283387517163755,0.339900588207786,0.407754967387487,27.108
"2260",0.0375613692475434,0.186350146502899,0.0283045846448719,0.339864790769485,0.4079191088352,27.12
"2261",0.0375160824405051,0.186301315330313,0.0282704587665418,0.33982893087227,0.40808321259037,27.132
"2262",0.0374708502355297,0.186252488465986,0.0282363740317278,0.339793008615278,0.408247278651478,27.144
"2263",0.0374256725667774,0.186203665927829,0.0282023303908322,0.339757024097536,0.408411307017026,27.156
"2264",0.0373805493684875,0.186154847733709,0.0281683277943171,0.339720977417958,0.408575297685528,27.168
"2265",0.037335480574979,0.18610603390145,0.0281343661927044,0.339684868675348,0.408739250655518,27.18
"2266",0.0372904661206497,0.186057224448834,0.0281004455365754,0.339648697968397,0.408903165925544,27.192
"2267",0.037245505939977,0.186008419393596,0.0280665657765709,0.339612465395685,0.409067043494171,27.204
"2268",0.0372005999675172,0.185959618753431,0.0280327268633914,0.339576171055682,0.409230883359978,27.216
"2269",0.0371557481379054,0.185910822545989,0.0279989287477966,0.339539815046746,0.409394685521563,27.228
"2270",0.0371109503858557,0.185862030788877,0.0279651713806055,0.339503397467124,0.409558449977538,27.24
"2271",0.0370662066461611,0.185813243499659,0.0279314547126965,0.339466918414952,0.409722176726532,27.252
"2272",0.0370215168536929,0.185764460695856,0.0278977786950069,0.339430377988256,0.409885865767189,27.264
