,Country,NetCode,NetID,Brand,Status.12,Status.24,Status.6,Status.18,Status.48,Status.30,Status.42,,
7328,Zambia,10611,10611,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7815,Zambia,10612,10612,Olyset,LastNight,NotLastNight,NA,LastNight,NA,LastNight,NA,,
7593,Zambia,10613,10613,Olyset,LastNight,NA,NA,Unclear,NA,NA,NA,,
11676,Zambia,10614,10614,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
7511,Zambia,10615,10615,Olyset,LastNight,NA,NA,NA,NA,NA,NA,,
7329,Zambia,10616,10616,Olyset,LastNight,LastNight,NA,NotLastNight,NA,Attrited,NA,,
7816,Zambia,10617,10617,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7330,Zambia,10618,10618,Olyset,LastNight,NotLastNight,NA,LastNight,NA,LastNight,NA,,
11677,Zambia,10619,10619,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
12092,Zambia,10620,10620,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
12090,Zambia,10621,10621,Olyset,LastNight,LastNight,NA,NotUse,NA,Attrited,NA,,
7512,Zambia,10622,10622,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
7817,Zambia,10623,10623,Olyset,LastNight,LastNight,NA,LastNight,NA,NotLastNight,NA,,
7527,Zambia,10624,10624,Olyset,LastNight,NotUse,NA,LastNight,NA,Attrited,NA,,
7531,Zambia,10625,10625,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
11678,Zambia,10701,10701,Olyset,LastNight,NotUse,NA,NotLastNight,NA,Unclear,NA,,
7594,Zambia,10702,10702,Olyset,LastNight,NotLastNight,NA,LastNight,NA,Removed,NA,,
8070,Zambia,10703,10703,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
8069,Zambia,10704,10704,Olyset,LastNight,Removed,NA,NotLastNight,NA,NA,NA,,
7331,Zambia,10705,10705,Olyset,LastNight,NotUse,NA,NotLastNight,NA,Unclear,NA,,
7818,Zambia,10706,10706,Olyset,NotLastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
7971,Zambia,10707,10707,Olyset,LastNight,NotLastNight,NA,NotLastNight,NA,Attrited,NA,,
11756,Zambia,10708,10708,Olyset,NotLastNight,LastNight,NA,NotLastNight,NA,Attrited,NA,,
7555,Zambia,10709,10709,Olyset,LastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
12093,Zambia,10710,10710,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
11679,Zambia,10711,10711,Olyset,NotLastNight,NA,NA,Attrited,NA,NA,NA,,
7332,Zambia,10712,10712,Olyset,LastNight,LastNight,NA,NotLastNight,NA,Attrited,NA,,
7333,Zambia,10713,10713,Olyset,NotLastNight,NotLastNight,NA,NotLastNight,NA,NA,NA,,
7334,Zambia,10714,10714,Olyset,LastNight,LastNight,NA,NotLastNight,NA,NA,NA,,
8008,Zambia,10715,10715,Olyset,LastNight,NotLastNight,NA,NA,NA,NotUse,NA,,
7522,Zambia,10716,10716,Olyset,NotLastNight,LastNight,NA,NotLastNight,NA,Attrited,NA,,
7335,Zambia,10717,10717,Olyset,NotLastNight,NotLastNight,NA,NA,NA,LastNight,NA,,
7336,Zambia,10718,10718,Olyset,LastNight,NA,NA,Unclear,NA,NA,NA,,
7337,Zambia,10719,10719,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
7338,Zambia,10720,10720,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
12091,Zambia,10721,10721,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
11680,Zambia,10722,10722,Olyset,LastNight,Unclear,NA,LastNight,NA,NA,NA,,
7819,Zambia,10723,10723,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
7972,Zambia,10724,10724,Olyset,LastNight,NA,NA,NA,NA,NA,NA,,
7820,Zambia,10725,10725,Olyset,NotLastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
7821,Zambia,10801,10801,Olyset,LastNight,LastNight,NA,LastNight,NA,NotLastNight,NA,,
11681,Zambia,10802,10802,Olyset,LastNight,NA,NA,LastNight,NA,NotLastNight,NA,,
9942,Zambia,10803,10803,Olyset,LastNight,NotLastNight,NA,NotLastNight,NA,LastNight,NA,,
9943,Zambia,10804,10804,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
7822,Zambia,10805,10805,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7823,Zambia,10806,10806,Olyset,LastNight,Unclear,NA,NotLastNight,NA,NA,NA,,
7595,Zambia,10807,10807,Olyset,NotLastNight,LastNight,NA,NotLastNight,NA,NA,NA,,
9944,Zambia,10808,10808,Olyset,NotLastNight,NA,NA,Attrited,NA,NA,NA,,
7596,Zambia,10809,10809,Olyset,LastNight,LastNight,NA,NotLastNight,NA,NotUse,NA,,
9945,Zambia,10810,10810,Olyset,LastNight,Unclear,NA,LastNight,NA,NA,NA,,
7824,Zambia,10811,10811,Olyset,LastNight,NotLastNight,NA,NotLastNight,NA,NotUse,NA,,
7597,Zambia,10812,10812,Olyset,LastNight,NotLastNight,NA,NotLastNight,NA,NotUse,NA,,
7825,Zambia,10813,10813,Olyset,LastNight,LastNight,NA,NotLastNight,NA,LastNight,NA,,
11682,Zambia,10814,10814,Olyset,NotLastNight,NA,NA,Attrited,NA,NA,NA,,
9946,Zambia,10815,10815,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
9947,Zambia,10816,10816,Olyset,LastNight,NotLastNight,NA,LastNight,NA,NotUse,NA,,
8009,Zambia,10817,10817,Olyset,NotLastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
7598,Zambia,10818,10818,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
8010,Zambia,10819,10819,Olyset,NotLastNight,LastNight,NA,NotLastNight,NA,Removed,NA,,
9948,Zambia,10820,10820,Olyset,LastNight,LastNight,NA,NotLastNight,NA,NotLastNight,NA,,
7554,Zambia,10821,10821,Olyset,LastNight,NotLastNight,NA,LastNight,NA,LastNight,NA,,
9949,Zambia,10822,10822,Olyset,LastNight,LastNight,NA,NotLastNight,NA,NotLastNight,NA,,
9950,Zambia,10823,10823,Olyset,LastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
7339,Zambia,10824,10824,Olyset,NotLastNight,Unclear,NA,NotLastNight,NA,NA,NA,,
9951,Zambia,10825,10825,Olyset,NotLastNight,NA,NA,NA,NA,NA,NA,,
7826,Zambia,10901,10901,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7599,Zambia,10902,10902,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
9952,Zambia,10903,10903,Olyset,LastNight,LastNight,NA,LastNight,NA,NA,NA,,
7600,Zambia,10904,10904,Olyset,LastNight,LastNight,NA,LastNight,NA,Removed,NA,,
7601,Zambia,10905,10905,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
8011,Zambia,10906,10906,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
11683,Zambia,10907,10907,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
7340,Zambia,10908,10908,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7509,Zambia,10909,10909,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7602,Zambia,10910,10910,Olyset,NotLastNight,Attrited,NA,LastNight,NA,NA,NA,,
7603,Zambia,10911,10911,Olyset,LastNight,Removed,NA,LastNight,NA,NA,NA,,
7827,Zambia,10912,10912,Olyset,NotLastNight,LastNight,NA,NotLastNight,NA,LastNight,NA,,
7604,Zambia,10913,10913,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
7828,Zambia,10914,10914,Olyset,LastNight,Removed,NA,LastNight,NA,NA,NA,,
7341,Zambia,10915,10915,Olyset,LastNight,NA,NA,NotLastNight,NA,NA,NA,,
7342,Zambia,10916,10916,Olyset,LastNight,NotLastNight,NA,NotLastNight,NA,NA,NA,,
9953,Zambia,10917,10917,Olyset,LastNight,NA,NA,NA,NA,NA,NA,,
9954,Zambia,10918,10918,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
8012,Zambia,10919,10919,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
