"","Country","NetCode","Brand","Round","Status","PHI","Damage_related","Wash","WashFreq","Bedding","Reason","Location"
"20859","Kenya","O167","PermaNet 2.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20860","Kenya","P098_top_PBO","PermaNet 3.0",48,"Not used last night",NA,"No",NA,NA,NA,"",""
"20861","Kenya","O169","PermaNet 2.0",42,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20862","Kenya","O177","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20863","Kenya","O177","PermaNet 2.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20864","Kenya","O182","PermaNet 2.0",42,"Used last night",3750,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20865","Kenya","O183","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20866","Kenya","O183","PermaNet 2.0",36,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20867","Kenya","O185","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20868","Kenya","O185","PermaNet 2.0",30,"Used last night",28,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20869","Kenya","O186","PermaNet 2.0",6,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20870","Kenya","O187","PermaNet 2.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20871","Kenya","O198","PermaNet 2.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20872","Kenya","O198","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20873","Kenya","O198","PermaNet 2.0",30,"Used last night",135,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20874","Kenya","O200","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20875","Kenya","P098_upper","PermaNet 3.0",48,"Not used last night",NA,"No",NA,NA,NA,"",""
"20876","Kenya","O202","PermaNet 2.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20877","Kenya","O204","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20878","Kenya","O204","PermaNet 2.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20879","Kenya","O204","PermaNet 2.0",48,"Used last night",761,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20880","Kenya","O208","PermaNet 2.0",12,"Used last night",0,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20881","Kenya","O209","PermaNet 2.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20882","Kenya","O209","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20883","Kenya","O212","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20884","Kenya","O212","PermaNet 2.0",36,"Used last night",51,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20885","Kenya","O213","PermaNet 2.0",36,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20886","Kenya","O217","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20887","Kenya","O217","PermaNet 2.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20888","Kenya","P1004_lower","PermaNet 3.0",48,"Not used last night",NA,"No",NA,NA,NA,"",""
"20889","Kenya","O219","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20890","Kenya","O220","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20891","Kenya","O220","PermaNet 2.0",42,"Used last night",0,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20892","Kenya","O222","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20893","Kenya","O222","PermaNet 2.0",30,"Used last night",266,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20894","Kenya","O223","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20895","Kenya","O224","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20896","Kenya","O224","PermaNet 2.0",36,"Used last night",26,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20897","Kenya","O226","PermaNet 2.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20898","Kenya","O226","PermaNet 2.0",30,"Used last night",0,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20899","Kenya","O229","PermaNet 2.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20900","Kenya","O232","PermaNet 2.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20901","Kenya","O236","PermaNet 2.0",6,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20902","Kenya","O241","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20903","Kenya","O245","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20904","Kenya","O248","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20905","Kenya","O249","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20906","Kenya","O249","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20907","Kenya","O254","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20908","Kenya","O259","PermaNet 2.0",42,"Used last night",0,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20909","Kenya","O261","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20910","Kenya","O262","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20911","Kenya","O262","PermaNet 2.0",36,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20912","Kenya","O263","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20913","Kenya","O263","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20914","Kenya","O264","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20915","Kenya","O264","PermaNet 2.0",36,"Used last night",46,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20916","Kenya","O268","PermaNet 2.0",30,"Used last night",489,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20917","Kenya","O269","PermaNet 2.0",12,"Not used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20918","Kenya","O269","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20919","Kenya","O271","PermaNet 2.0",36,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20920","Kenya","O273","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20921","Kenya","O275","PermaNet 2.0",18,"Used last night",196,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20922","Kenya","O279","PermaNet 2.0",36,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20923","Kenya","O282","PermaNet 2.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20924","Kenya","O282","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20925","Kenya","O282","PermaNet 2.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20926","Kenya","O282","PermaNet 2.0",42,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20927","Kenya","O284","PermaNet 2.0",48,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20928","Kenya","O297","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20929","Kenya","O300","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20930","Kenya","O301","PermaNet 2.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20931","Kenya","O301","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20932","Kenya","O302","PermaNet 2.0",12,"Used last night",0,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20933","Kenya","O303","PermaNet 2.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20934","Kenya","O305","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20935","Kenya","O305","PermaNet 2.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20936","Kenya","O305","PermaNet 2.0",36,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20937","Kenya","O307","PermaNet 2.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20938","Kenya","O309","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20939","Kenya","O309","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20940","Kenya","O310","PermaNet 2.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20941","Kenya","O310","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20942","Kenya","O310","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20943","Kenya","O310","PermaNet 2.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20944","Kenya","O311","PermaNet 2.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20945","Kenya","O312","PermaNet 2.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20946","Kenya","O312","PermaNet 2.0",18,"Used last night",599,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20947","Kenya","O313","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20948","Kenya","O313","PermaNet 2.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
